machineName:sensorName,operationalHigh,operationalLow
CTM:LOAD CENTER 11 TEMP IND DEVC OVRTEMP,1.0,0.0
CTM:LOAD CENTER 21 TEMP IND DEVC OVRTEMP,1.0,0.0
CTM:LOAD CENTER 31 TEMP IND DEVC OVRTEMP,1.0,0.0
CTM:SYS COMM FAIL,1.0,0.0
CTM:TEMP INDCTN DEVC FAILR,1.0,0.0
CW:COMBND CW,1.0,0.0
CW:EXP TNK 1 LVL LOW,1.0,0.0
CW:EXP TNK 1 LVL LOWLOW,1.0,0.0
CW:EXP TNK 2/3 LVL LOW,1.0,0.0
CW:EXP TNK 2/3 LVL LOWLOW,1.0,0.0
CW:EXP TNK 4 LVL LOW,1.0,0.0
CW:EXP TNK 4 LVL LOWLOW,1.0,0.0
CW:SPY1 PORT AFT ARRAY SUPL PRES SUMRY FAULT,1.0,0.0
CW:SPY1 PORT FWD ARRAY SUPL PRES SUMRY FAULT,1.0,0.0
CW:SPY1 STBD AFT ARRAY SUPL PRES SUMRY FAULT,1.0,0.0
CW:SPY1 STBD FWD ARRAY SUPL PRES SUMRY FAULT,1.0,0.0
CW:ZONE 1 FLW LOW,1.0,0.0
CW:ZONE 1 PRES LOW,1.0,0.0
CW:ZONE 1 TEMP HI,1.0,0.0
CW:ZONE 2 FLW LOW,1.0,0.0
CW:ZONE 2 PRES LOW,1.0,0.0
CW:ZONE 2 TEMP HI,1.0,0.0
CW:ZONE 3 FLW LOW,1.0,0.0
CW:ZONE 3 PRES LOW,1.0,0.0
CW:ZONE 3 TEMP HI,1.0,0.0
CW:ZONE 4 FLW LOW,1.0,0.0
CW:ZONE 4 PRES LOW,1.0,0.0
CW:ZONE 4 TEMP HI,1.0,0.0
DCS:3M/MAA & TRAINING OFFICE FIRE,1.0,0.0
DCS:3M/MAA & TRAINING OFFICE FIRE (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER LOADER DRUM RM FIRE,1.0,0.0
DCS:5-INCH/54 CALIBER LOADER DRUM RM FIRE (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER LOADER DRUM RM FLOODG,1.0,0.0
DCS:5-INCH/54 CALIBER LOADER DRUM RM FLOODG (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER LOADER DRUM RM SPRNKLR ON,1.0,0.0
DCS:5-INCH/54 CALIBER LOADER DRUM RM SPRNKLR ON (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 1 FIRE,1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 1 FIRE (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 1 FLOODG,1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 1 FLOODG (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 2 FIRE,1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 2 FIRE (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 2 FLOODG,1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 2 FLOODG (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 2 SPRNKLR ON,1.0,0.0
DCS:5-INCH/54 CALIBER POWDER MAGZN 2 SPRNKLR ON (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER PROJCTL MAGZN FIRE,1.0,0.0
DCS:5-INCH/54 CALIBER PROJCTL MAGZN FIRE (DUPSIG_01),1.0,0.0
DCS:5-INCH/54 CALIBER PROJCTL MAGZN FLOODG,1.0,0.0
DCS:5-INCH/54 CALIBER PROJCTL MAGZN FLOODG (DUPSIG_01),1.0,0.0
DCS:AC MACH/PMP RM FIRE,1.0,0.0
DCS:AC MACH/PMP RM FIRE (DUPSIG_01),1.0,0.0
DCS:AC MACH/PMP RM FIRE (DUPSIG_02),1.0,0.0
DCS:AC MACH/PMP RM FIRE (DUPSIG_03),1.0,0.0
DCS:AC MACH/PMP RM FLOODG,1.0,0.0
DCS:AC MACH/PMP RM FLOODG (DUPSIG_01),1.0,0.0
DCS:ADMIN OFFICE FIRE,1.0,0.0
DCS:ADMIN OFFICE FIRE (DUPSIG_01),1.0,0.0
DCS:AFFF STATION 1 & STWG RM ACTUATED,1.0,0.0
DCS:AFFF STATION 1 & STWG RM ACTUATED (DUPSIG_01),1.0,0.0
DCS:AFFF STATION 2 ACTUATED,1.0,0.0
DCS:AFFF STATION 2 ACTUATED (DUPSIG_01),1.0,0.0
DCS:AFT BATL DRESSING STATION FIRE,1.0,0.0
DCS:AFT BATL DRESSING STATION FIRE (DUPSIG_01),1.0,0.0
